ID_Componente,Material,Densidad_gcm3,Resistencia_MPa,Coeficiente_Expansión,Inspección_Nivel,Aprobado
1,Titanio,7.134796563556812,1048.9718723337564,1.383738827355622e-05,B,Sí
2,Titanio,6.183662849420821,1384.007110852303,1.2756653718277968e-05,B,Sí
3,Titanio,2.785347829586376,868.5256628808386,1.4963686330929513e-05,A,Sí
4,Acero,2.578231967168113,637.890929502353,1.2089627837109044e-05,A,Sí
5,Titanio,7.977667381907842,1433.1097721369497,1.4158670870716936e-05,B,Sí
6,Aluminio,4.321972581270229,1547.9878418709359,1.012350991268115e-05,B,Sí
7,Aluminio,3.4826444810521933,1939.030002785886,1.0915426188193677e-05,B,Sí
8,Aluminio,2.5356259786512085,1204.0485992640279,1.6121976901559995e-05,B,Sí
9,Titanio,3.0102256816861788,267.5230763262776,1.3906516292043733e-05,A,Sí
10,Compuesto Carbono,2.822020911271233,855.584112229564,1.0964782687811168e-05,C,Sí
11,Compuesto Carbono,3.0598606351716615,1420.3208317841174,1.112100632881313e-05,B,Sí
12,Compuesto Carbono,2.879829855308194,669.1370230261805,1.831854420913937e-05,C,Sí
13,Acero,4.153341882562591,716.1922936862514,1.2376963852824133e-05,C,Sí
14,Acero,7.164578123666825,901.8234764594044,1.70468363173958e-05,B,Sí
15,Acero,3.4929064992274252,1193.7835602091536,1.897629920831706e-05,B,Sí
16,Titanio,2.5238802599506096,1614.8246328371665,1.089032717120435e-05,A,Sí
17,Compuesto Carbono,2.5045828198336344,1456.3299516724494,1.3451216637878227e-05,C,Sí
18,Aluminio,3.2748908761238136,669.175909178651,1.913379031197907e-05,A,Sí
19,Titanio,5.8093806394405805,704.3209547537308,1.880020069799009e-05,A,Sí
20,Titanio,4.091122628005263,990.6434112840708,1.525206784355925e-05,B,No
21,Compuesto Carbono,7.085454181000432,825.2030404216117,1.8805292483976848e-05,A,Sí
22,Compuesto Carbono,2.6799273328479245,607.9902112211201,1.1302530532424239e-05,B,Sí
23,Compuesto Carbono,4.166457423026659,758.2445781657138,1.907302932492402e-05,A,Sí
24,Acero,6.998298442687034,1258.8622921851004,1.6051913772611908e-05,B,Sí
25,Compuesto Carbono,5.736662044516809,1627.3535916702815,1.0492245016540908e-05,B,Sí
26,Compuesto Carbono,7.407261721532048,442.01156707002707,1.4869280682393763e-05,B,Sí
27,Acero,2.588333633479293,981.6983972680023,1.0736816704846852e-05,B,Sí
28,Aluminio,3.2656485177704977,1614.3349292838564,1.1433876813095405e-05,C,Sí
29,Aluminio,5.552675118955603,563.5888122422805,1.2355611953314861e-05,B,Sí
