Identificador,TipoComponente,FechaProduccion,Presion,Temperatura,Desempeno,Peso,Target
597,Avionica,2020-09-03,4.6166,-42.9856,70.4738,353.1219,KO
3500,Avionica,2022-10-02,,,75.9521,510.8398,KO
783,Nuevo_4,2018-04-01,1.9153,110.005,47.5412,462.6744,KO
3417,Nuevo_1,2021-02-15,3.3869,77.3739,63.7689,850.976,KO
4512,Fuselaje,2022-01-10,2.1364,-48.8167,54.7088,404.332,KO
4699,Motor,2022-09-06,4.235,3.1636,76.0639,750.1407,KO
4665,Fuselaje,2021-10-22,3.0689,107.7018,53.6204,113.7267,Nuevo_4
6436,Motor,2018-10-03,3.2153,14.3462,61.201,129.4401,Nuevo_4
5175,Avionica,2019-02-20,3.5075,55.6918,56.6505,755.8142,OK
1754,Motor,2019-03-03,,,29.5568,672.1076,Nuevo_5
407,Avionica,2020-11-23,1.6141,39.9464,53.7203,917.0925,KO
5718,Nuevo_1,2021-02-22,2.4668,-34.7953,50.8045,855.6866,OK
1856,Alas,2022-06-30,3.0721,49.9365,60.2567,542.9422,OK
5277,Fuselaje,2021-09-15,3.3569,105.085,44.2135,236.5124,KO
4162,Alas,2020-11-09,1.7637,136.6438,54.405,643.6967,KO
1889,Motor,2021-07-17,1.408,99.0693,44.3029,995.6546,Nuevo_3
1801,Alas,2019-12-10,4.7041,-1.7268,77.1003,293.6236,KO
3729,Nuevo_4,2021-02-28,1.163,-8.0591,38.679,791.4538,KO
2467,Motor,2022-07-04,2.7633,,66.2784,582.4602,Nuevo_5
2819,Alas,2019-03-28,4.3846,-7.3789,67.8854,105.5527,Nuevo_2
2667,Nuevo_2,2018-09-04,2.0734,-10.4641,64.924,259.1673,OK
4306,Motor,2020-12-01,2.7637,135.0128,67.3569,738.4618,KO
3110,Motor,2021-05-30,1.1655,148.828,41.7393,223.2587,KO
7472,Fuselaje,2022-09-27,4.4758,13.0949,89.4616,266.1355,Nuevo_4
7384,Motor,2020-05-03,4.1295,104.5487,75.3328,939.3347,KO
1613,Avionica,2021-01-09,2.5627,87.7906,61.7639,510.2758,KO
7368,Alas,2020-11-25,1.8003,125.9715,58.7083,790.5813,Nuevo_3
5629,Avionica,2022-06-17,3.3421,-6.4509,73.7469,474.0415,OK
342,Avionica,2021-02-10,1.1857,18.4502,60.2511,554.368,OK
4934,,2021-04-29,1.5735,14.9005,58.288,485.6822,KO
5036,Motor,2019-06-15,1.4174,30.5567,56.0062,729.2309,Nuevo_4
5461,Avionica,2018-08-07,2.1412,-18.1158,55.5725,375.9772,KO
2109,Avionica,2018-06-12,3.3155,,70.6257,812.4852,OK
4178,Nuevo_1,2019-09-10,1.6386,138.0247,50.7301,481.9404,KO
2713,Motor,2021-03-07,1.7708,,30.6528,684.4904,Nuevo_4
1188,Fuselaje,2022-10-30,4.9665,58.9469,99.0849,382.1952,OK
161,Motor,2021-12-07,4.5467,125.4874,62.2921,680.0635,OK
2679,Alas,2022-01-02,4.0941,-0.3038,69.7163,731.1014,OK
1180,Avionica,2021-06-15,1.4172,135.8535,30.0292,569.9412,OK
7451,Avionica,2021-01-17,2.4627,-20.1475,48.0006,437.166,Nuevo_4
4017,Fuselaje,2022-03-12,3.2427,45.148,55.552,235.6448,OK
2792,Nuevo_2,2022-06-16,1.9994,45.9215,54.909,540.4999,KO
693,Fuselaje,2020-04-04,4.004,-30.6801,68.5068,237.6222,Nuevo_5
2729,Alas,2020-10-20,3.8647,60.2972,60.0244,451.8261,Nuevo_5
2472,Alas,2018-03-12,4.4259,144.4921,79.1517,566.0785,OK
520,Nuevo_2,2021-01-09,3.5822,41.6746,79.2791,142.6253,OK
884,Alas,2019-03-24,3.9898,52.8338,58.8661,775.2824,KO
1784,Motor,2022-05-06,,,80.6401,220.3145,Nuevo_4
7474,Fuselaje,2022-03-26,1.5511,-32.8259,52.9411,450.5741,KO
225,Nuevo_4,2020-04-06,3.371,-43.2332,61.4307,608.0742,OK
156,Motor,2022-04-25,4.7075,147.1114,75.8166,456.5315,KO
5844,Alas,2019-07-22,,,39.957,879.2071,Nuevo_5
1738,Nuevo_1,2021-07-26,4.1643,-39.8273,,644.719,OK
981,Fuselaje,2021-12-04,4.3864,27.728,70.2861,399.126,KO
4097,Alas,2021-07-14,3.3016,,53.5606,264.6604,OK
4610,Fuselaje,2021-02-04,1.6939,-12.9899,55.6251,878.7635,Nuevo_4
6140,Nuevo_1,2022-11-18,3.2737,39.8919,62.3418,790.9683,Nuevo_3
75,Nuevo_2,2019-07-10,2.1763,102.3362,50.3856,404.4503,OK
4761,Avionica,2018-04-21,2.0445,93.9406,44.9689,977.8207,OK
1662,Nuevo_5,2018-01-08,4.9291,91.2319,65.6558,343.3211,KO
7227,Motor,2020-05-03,4.1187,144.2675,40.645,868.0808,KO
6108,Alas,2022-06-30,1.6264,96.9862,47.2937,155.8031,OK
6221,,2022-06-17,1.5141,41.8491,54.5494,219.5536,KO
214,Nuevo_2,2021-08-04,1.2682,6.8336,31.6029,926.3129,Nuevo_4
3098,Nuevo_3,2022-03-20,1.0881,47.4238,49.1464,793.4976,Nuevo_1
2030,Alas,2021-05-28,4.4927,-1.8195,74.5196,763.4898,OK
2210,Motor,2021-07-01,3.7906,99.4203,59.6077,512.289,Nuevo_3
972,Alas,2020-03-11,4.6605,106.1159,,354.0108,KO
6170,Nuevo_4,2021-06-01,1.787,41.2941,44.8907,740.3376,Nuevo_3
5605,Nuevo_2,2022-09-04,1.5692,-45.3263,36.7295,581.4935,Nuevo_1
3621,,2019-08-18,4.6608,-14.1921,71.25,963.8317,KO
678,Alas,2019-05-02,1.0393,78.3095,41.8394,308.7335,OK
3051,Alas,2022-04-05,1.136,,44.7778,445.6756,OK
1200,Nuevo_2,2020-04-30,2.5978,-3.3554,51.2611,846.4406,OK
1090,Fuselaje,2021-07-30,2.6908,-40.1368,44.3919,231.247,OK
4932,Nuevo_1,2018-03-23,2.7883,22.316,68.4577,527.8492,Nuevo_3
4634,Avionica,2021-05-08,4.8081,-2.7872,67.4702,856.0987,OK
5642,Fuselaje,2021-09-19,1.7456,89.2632,50.5542,696.9546,KO
3107,Motor,2020-05-21,3.4914,45.4572,70.6833,126.9715,KO
4169,Nuevo_5,2018-10-30,,,63.1639,477.7973,KO
1826,Avionica,2022-06-09,2.464,126.0503,47.5212,910.9213,KO
5645,,2019-08-29,2.3187,123.7388,42.1459,973.8343,Nuevo_5
5931,Nuevo_3,2022-12-20,1.5508,10.3892,39.4107,367.8242,Nuevo_5
7093,Avionica,2020-10-18,4.1907,21.2648,72.2422,488.0153,OK
2544,Fuselaje,2021-03-05,3.2363,120.7155,53.7909,594.9673,KO
4776,Fuselaje,2018-02-27,2.2824,122.4303,46.4223,380.7994,OK
3046,Nuevo_3,2020-05-21,3.2281,68.9742,55.3512,172.2281,KO
4845,Motor,2021-11-18,4.4528,-42.3685,67.2393,206.3572,Nuevo_1
4119,Motor,2022-01-01,2.0862,37.5903,32.7347,278.1431,Nuevo_5
2719,Fuselaje,2019-10-20,2.5325,56.5058,67.5284,159.2129,Nuevo_1
1332,Fuselaje,2020-07-25,4.9879,18.1742,59.174,806.6801,OK
3800,Nuevo_1,2020-06-19,3.2829,,80.9936,724.646,KO
779,Alas,2022-08-26,3.0008,127.4367,,662.8033,KO
2352,Alas,2018-05-28,2.6526,-3.1948,49.9363,575.4052,Nuevo_2
71,Avionica,2022-02-22,4.7593,0.0895,103.3314,842.1924,KO
4950,Nuevo_5,2019-03-02,3.466,104.8624,50.1226,779.4468,OK
6977,Avionica,2019-02-18,1.5368,39.9776,39.3153,634.5303,KO
1175,Avionica,2018-10-02,4.0061,66.4698,68.9885,647.3767,KO
6267,Alas,2021-09-11,1.0535,109.4253,37.4398,520.7392,KO
5174,Nuevo_4,2018-02-05,1.1538,1.425,49.5686,126.3509,Nuevo_2
5918,Alas,2018-04-04,1.4633,146.0435,42.5268,212.7754,KO
