Identificador,TipoCultivo,FechaCosecha,Peso,Desempeno,Humedad,Precio,Target
3429,Vegetal,2022-07-01,1.028,48.6691,78.4638,5.0394,KO
5887,Fruta,2021-02-25,3.9033,58.9238,73.9092,18.7653,KO
5926,Legumbre,2022-03-12,3.9371,63.6086,55.9983,13.2216,OK
2753,Cereal,2021-06-03,5.5375,113.5065,88.5086,24.1831,OK
2692,Fruta,2022-12-16,2.4033,62.1792,83.5417,10.6026,OK
5824,Vegetal,2022-01-08,,,69.8762,20.0099,OK
4869,Cereal,2022-11-19,5.8345,66.0353,86.8132,25.6603,OK
3887,Vegetal,2021-11-29,4.9672,70.2861,48.6531,18.3397,OK
4588,Fruta,2021-10-13,7.5238,76.2119,60.9936,30.7991,OK
1224,Cereal,2021-03-06,9.1248,67.971,64.9221,24.4004,KO
1339,Vegetal,2022-08-20,9.5808,83.1576,39.2374,37.008,KO
4513,Fruta,2021-03-10,5.6006,113.5065,43.4434,22.5953,OK
4260,Cereal,2021-06-07,5.8291,67.6293,61.0628,13.6328,OK
4448,Fruta,2022-05-23,5.5008,62.6815,52.3023,22.9679,OK
3066,Vegetal,2022-01-01,1.3402,57.7616,48.8699,4.3265,KO
3008,Fruta,2021-12-09,6.6233,67.2496,33.056,16.9281,OK
2803,Legumbre,2021-10-28,2.209,55.1518,54.6579,9.2542,KO
725,Fruta,2021-09-21,3.502,56.852,74.143,8.4242,KO
3931,Legumbre,2021-12-02,4.3999,61.83,55.8609,21.8569,OK
4949,Fruta,2022-12-03,7.898,76.4333,55.7379,37.2185,OK
4684,Legumbre,2022-12-10,4.9774,66.5614,59.8234,22.5961,OK
671,Fruta,2022-12-27,6.1972,71.3385,65.1269,13.7656,OK
3224,Cereal,2021-07-26,7.5845,73.0119,83.9364,29.1516,OK
4432,Legumbre,2021-09-30,3.175,61.2638,43.7598,13.3721,OK
3634,Legumbre,2022-05-29,9.6358,80.6217,84.952,37.6471,KO
1666,Vegetal,2021-10-03,7.3743,69.3122,49.0699,30.0217,OK
4051,Legumbre,2021-04-16,6.159,66.1438,43.6296,27.7278,OK
5533,Cereal,2022-02-25,5.8163,68.6111,48.4957,18.4155,OK
3385,Fruta,2021-10-06,6.9398,59.7725,61.5197,33.3972,KO
3338,Vegetal,2021-07-20,0.5302,42.7003,52.2865,1.8179,KO
4105,Fruta,2021-03-24,6.6288,65.1942,72.181,17.1094,OK
2357,Vegetal,2022-09-03,6.6041,70.9085,45.008,19.5324,OK
2518,Vegetal,2021-07-17,7.472,78.4719,86.7904,27.1729,OK
1235,Vegetal,2022-03-05,5.2234,58.24,57.2726,13.9207,KO
5005,Legumbre,2021-10-17,9.7667,81.1924,42.3275,26.1199,KO
2758,Legumbre,2021-12-04,7.3707,78.3969,61.4724,16.474,OK
4550,Legumbre,2021-08-17,8.9248,79.1911,74.4471,19.527,KO
4154,Fruta,2021-04-09,4.3388,59.9771,41.8528,10.9698,KO
2365,Legumbre,2021-04-05,6.7817,63.9755,52.0032,16.874,OK
5683,Fruta,2021-02-24,8.7328,70.1733,79.711,33.2113,KO
384,Fruta,2021-04-13,6.9219,73.1292,59.8624,15.3316,OK
2263,Vegetal,2022-05-07,4.7582,62.6594,89.8426,15.9632,OK
874,Fruta,2021-06-26,1.1572,52.1752,41.2796,3.6248,KO
