ID_Unidad,Tiempo_Ensamblaje_min,Cantidad_Piezas,Torque_Tornillos_Nm,Presión_Neumáticos_PSI,Inspección_Visual,Prueba_Funcional
1,103.83241880799201,90,51.67913613588593,31.274793613526278,Aprobado,Sí
2,108.28668170179486,78,46.172376524203855,30.858617993286813,Aprobado,No
3,130.57239062644902,71,51.43845019531876,31.936275459161763,Aprobado,Sí
4,105.2078466514204,50,38.4593043355315,31.380387953050363,Aprobado,Sí
5,113.87427434419541,66,54.88068689961527,32.146397606149776,Aprobado,Sí
6,93.42635061631158,86,52.82868568140936,33.49112351935573,Aprobado,Sí
7,122.4279102637935,87,50.10891517610345,31.748893305681353,Aprobado,Sí
8,123.60858453698881,73,46.04146968550301,32.170393615609875,Aprobado,No
9,134.53595155535822,58,53.26916632156624,32.33027879025212,Aprobado,Sí
10,118.83765705692005,78,56.05848155767424,32.48880339083382,Aprobado,Sí
11,141.2373644333467,76,52.141206185249175,33.29377047166185,Aprobado,Sí
12,92.9684499058526,95,56.00727110613819,29.362123563659992,Aprobado,Sí
13,112.35333717474045,73,43.153333221177654,32.17708190234412,Aprobado,Sí
14,127.03087401488003,82,43.128281453091496,32.758205652294016,Aprobado,Sí
15,109.36158604505306,83,49.37686571552555,34.63491700312111,Aprobado,Sí
16,106.58516939451512,80,56.78575830546524,27.988633526376518,Aprobado,Sí
17,103.88373837578904,93,51.95711667113933,30.835177408738993,Aprobado,Sí
18,123.20077471393995,58,44.83464958538124,31.8848590777816,Rechazado,Sí
19,128.00764163456975,78,51.95793969378512,29.185149307319698,Aprobado,Sí
20,126.4616505108336,84,56.33524079316892,31.253310609299934,Aprobado,Sí
21,117.35337174804982,52,43.38352496385573,32.21379021036091,Rechazado,Sí
22,122.99640928945571,86,47.29103356929763,36.47313265935392,Aprobado,Sí
23,149.4330499745849,76,51.67389271152989,31.170034428048865,Aprobado,No
24,105.90449186119505,71,45.31970368045163,34.302949236191104,Aprobado,Sí
25,110.91463732996321,65,39.66928367808511,33.07082825251852,Aprobado,Sí
26,126.41401042797459,96,53.104702284722244,31.311611739808114,Aprobado,Sí
27,109.48059920411295,80,57.11636599552118,31.841050879334063,Aprobado,Sí
28,114.72844778151959,60,57.13284623202362,33.11798042811093,Aprobado,Sí
29,122.14470294793823,97,52.34302498174744,29.64597118566959,Aprobado,Sí
30,133.61644618120312,86,46.18667440335226,34.65543283181766,Aprobado,Sí
31,122.35212552498359,70,51.42228067148676,32.69844420941031,Aprobado,Sí
32,138.80374568141247,87,48.29688149131277,29.18836911305807,Aprobado,Sí
33,98.48756200515771,88,50.37851967635642,32.06419093690141,Aprobado,Sí
34,125.32741115846945,98,42.784853174653946,31.69639048265453,Aprobado,Sí
35,97.35096191283147,75,44.87617889863905,31.845696649200708,Aprobado,Sí
36,88.68695808529418,64,44.361119855259304,29.680248856305056,Aprobado,Sí
37,116.23697345813657,61,51.89858727482958,35.101743161717636,Rechazado,Sí
38,125.08552510252488,67,55.206917657361195,35.159647193694276,Aprobado,Sí
39,122.04049771484637,56,41.87078430104536,31.006960730432702,Aprobado,Sí
40,114.27032559185396,85,41.653602821031406,31.89906956477405,Aprobado,Sí
41,117.26926342358288,98,49.17229879811092,30.872388970725023,Aprobado,Sí
42,116.08283845377504,75,46.6665635992684,30.707274313752347,Aprobado,Sí
43,106.88322232304621,65,52.759590243702014,33.08159440739193,Aprobado,Sí
44,93.35477085430021,50,56.373348310219555,27.383475905389325,Aprobado,Sí
45,113.90561318256992,88,46.50791998217996,32.37888046502482,Aprobado,Sí
46,118.57734499252093,83,61.83258624350344,31.268312450155587,Aprobado,Sí
47,127.0629620272908,86,58.76642324053663,30.05619411462663,Aprobado,Sí
48,118.13227276717603,90,51.72923466900128,32.08838717146714,Aprobado,Sí
49,162.9719719023384,84,51.23967992789003,35.07822005606695,Rechazado,Sí
50,113.10963579273421,54,49.129548632825795,33.255093022632096,Aprobado,Sí
51,113.4076727735866,81,46.03627375107307,28.36532063473215,Aprobado,Sí
52,106.78891654180767,71,57.13784812042282,31.392352285582366,Aprobado,No
53,121.93356125461801,74,54.666720496759616,31.594359974443147,Rechazado,Sí
54,125.28615763858492,53,41.43842045997218,34.42688887058967,Aprobado,Sí
55,144.08248257069525,74,50.71400416471339,32.07030830098758,Aprobado,Sí
56,140.95565108264836,98,41.69923960014152,28.698491679732655,Aprobado,Sí
57,114.8057339956392,81,43.33868329311065,29.31772773393859,Aprobado,Sí
58,134.119925554042,91,52.84279436288034,27.73882051722865,Aprobado,Sí
59,115.1028302065891,95,50.09876867149177,31.27733104836974,Aprobado,Sí
60,122.09932424775147,85,45.40851586056323,32.69088209768317,Aprobado,Sí
61,104.13957928602247,59,55.70244187474907,32.89879808447368,Rechazado,Sí
62,137.2012254224706,78,49.14392922835102,33.97572105299224,Aprobado,Sí
63,102.55689410502347,91,43.20498268770211,30.1770103645607,Aprobado,Sí
64,109.18767897022317,55,48.13311714672495,32.99163190783107,Aprobado,Sí
65,107.68411537022912,56,57.136067936322135,29.384385679446034,Aprobado,Sí
66,130.40949512957414,96,54.54839897629361,33.405133963036384,Aprobado,Sí
67,108.77026748449222,67,44.187316077508584,30.734907041817554,Aprobado,Sí
68,96.42108622424242,53,53.36415913477566,30.047220987453485,Aprobado,Sí
69,141.85742317299216,87,42.81038804975624,31.804871057967134,Aprobado,Sí
70,118.15700369201745,84,51.16679569401906,32.97292307012933,Aprobado,Sí
71,140.83053153124723,81,51.572462154104784,35.328416917442645,Rechazado,Sí
72,121.50497321766795,94,44.73879580476733,32.856948922353254,Aprobado,Sí
73,103.7785697269452,77,49.05238560243872,31.117626139222494,Aprobado,Sí
74,90.1099683499991,76,50.49636421790579,33.050345886914236,Aprobado,Sí
75,143.98690441074913,50,44.634415415195754,34.21259014746971,Aprobado,Sí
76,123.39425619828138,70,46.574861900503066,30.76214558884247,Aprobado,Sí
77,145.2967735780755,82,52.95399654306303,32.481121613273196,Aprobado,Sí
78,113.0501850345865,75,48.25379368694905,30.339233179067072,Aprobado,Sí
79,102.98185702748725,67,50.332987032262686,32.29713362841055,Aprobado,Sí
80,107.917185203378,82,48.4522714610433,32.73031243025646,Aprobado,Sí
81,124.20853828457747,88,50.88716276252513,32.30029601066965,Aprobado,Sí
82,119.91131657868851,69,46.48139446459071,31.86108424598421,Aprobado,Sí
83,120.11742571180932,99,47.437053455761856,32.39578459191653,Aprobado,Sí
84,116.94177982236943,64,48.89684985893134,30.984844603561307,Aprobado,Sí
85,126.28178396711856,68,56.52375279284159,33.42897652378513,Aprobado,Sí
86,117.42077917418018,89,43.96045454449302,32.72550117920756,Aprobado,Sí
87,132.5068085218194,63,53.33068376966884,34.33227020802848,Aprobado,Sí
88,117.2566697535452,75,41.25614247268727,33.434640927396735,Aprobado,Sí
89,125.83389539323328,86,41.84146244769396,32.51602441369138,Aprobado,Sí
90,134.63576831786628,84,44.62382162751896,33.302900456379696,Aprobado,Sí
91,125.60739847914175,57,55.0597281826812,36.36219159248441,Aprobado,Sí
92,114.2086684283685,71,48.74007977083138,30.75265963084783,Aprobado,Sí
93,120.1467790185025,88,54.71078769908334,31.052941111653354,Aprobado,Sí
94,125.7930687150082,72,50.21503703513127,32.664885840865175,Aprobado,Sí
95,110.24319631380378,86,46.28321478300147,31.80654671460239,Aprobado,Sí
96,114.08631762253806,64,47.09201983176102,33.633429829663385,Aprobado,No
97,121.96700191358256,69,41.8597761347368,33.95579523132686,Aprobado,Sí
98,114.94907699336133,63,49.14672311197234,29.09852246179435,Aprobado,No
99,167.6631490216302,57,50.88549068846757,29.193459583012658,Aprobado,Sí
100,107.94861532283291,92,58.149442541369794,34.4471908575006,Aprobado,Sí
101,107.29304543824531,72,49.562505282268575,29.702069066222805,Aprobado,Sí
102,112.28886754403635,73,40.114164622987175,31.123542122250896,Aprobado,Sí
103,140.58660903748265,50,56.992012975849775,34.825106344955486,Aprobado,Sí
104,129.8438215422783,69,52.097973935786484,27.174759893387893,Aprobado,Sí
105,122.04190185278239,75,59.607528113716924,32.710432967247776,Aprobado,Sí
106,120.99061808242911,96,56.58819662710417,33.919342301493444,Aprobado,Sí
107,118.81682290170642,51,53.70813556643715,31.994551214416887,Aprobado,Sí
108,105.15161719815508,52,41.415199529342836,32.47112458732378,Aprobado,Sí
109,118.1858540883852,69,46.0283941398582,29.568300127473073,Aprobado,Sí
110,128.732225505394,93,47.74139385965173,32.05692313146491,Aprobado,Sí
111,114.19459716096146,59,50.85109328788663,33.70767977786683,Aprobado,Sí
112,109.95664530522966,78,44.764295026085136,33.157166977424396,Aprobado,Sí
113,119.15300158547184,72,46.114045005515855,33.17976903503882,Aprobado,Sí
114,100.20180196257344,90,45.788420456574414,33.3660846021532,Aprobado,Sí
115,74.04604029292517,79,47.79544053865624,32.64275546973462,Aprobado,Sí
116,114.32212999988305,53,50.07275995976554,29.241269683732234,Aprobado,Sí
117,127.52202361991885,73,44.98659849715661,30.076364489032706,Aprobado,Sí
118,74.13104826250088,95,51.346973113613586,31.768394300541658,Aprobado,Sí
119,113.33495071496162,68,49.512830329931575,34.93325990615532,Aprobado,Sí
120,149.24894880705483,54,52.65697661224716,33.53351126303256,Aprobado,Sí
121,102.11913173887312,62,53.27690929833683,36.202721347939594,Aprobado,Sí
122,102.00945789988623,63,50.199869440121844,34.932479246458605,Aprobado,Sí
123,147.6990150832926,96,44.738380919457875,30.640345152246734,Aprobado,Sí
124,99.32262725375176,53,43.74691876549268,30.193987064620316,Rechazado,Sí
125,115.47307391870919,53,53.60509449243484,30.194166549170966,Rechazado,Sí
126,120.30951333342882,52,49.712784568792586,27.059200588786688,Aprobado,Sí
127,119.28337038318591,87,52.14891236887388,34.444696930845375,Aprobado,Sí
128,123.07761653480772,52,42.054141958444184,34.15933538495723,Aprobado,Sí
129,127.06410427104157,88,44.27527253188711,32.29822007187857,Aprobado,No
130,112.96696357849414,91,57.652055286890615,31.296188034452157,Aprobado,No
131,125.13641855836462,74,58.64198452756585,36.087368632176606,Aprobado,Sí
132,129.73436085659077,94,56.35344806586881,33.02604782432044,Aprobado,Sí
133,111.57045932153942,56,47.97383260311925,34.22502747076292,Aprobado,Sí
134,140.25120783748955,89,45.91080353270936,28.301424995072118,Aprobado,Sí
135,131.09419542233042,95,46.999360770030954,31.47086563707232,Aprobado,Sí
136,92.42979934906501,74,37.54139476396815,29.18211062552456,Aprobado,Sí
137,127.18242862924184,77,51.171711480740996,28.68526713136513,Aprobado,Sí
138,103.51942637476166,93,57.15977318498081,34.58199654452594,Aprobado,Sí
139,111.44878143491233,97,46.20069777033443,31.41964445223335,Aprobado,Sí
140,96.86799943124561,54,48.95321166163811,32.062818664284684,Aprobado,Sí
141,143.26318802735315,87,45.79885315833837,30.290110815001768,Rechazado,Sí
142,122.89377478580978,94,49.88976494852612,29.92342207410151,Aprobado,No
143,137.63758699703104,88,41.721585081128616,34.5708863703653,Aprobado,Sí
144,100.2438796509338,54,52.14404253611412,31.301039388443144,Aprobado,Sí
145,118.30405929443967,82,57.575087700068536,33.958302147295676,Aprobado,Sí
146,127.17108993319299,83,41.8610441403792,32.70743554820647,Aprobado,Sí
147,117.9224720327205,67,46.76910083200106,29.638338156350972,Aprobado,Sí
148,121.6619349547545,86,46.5951929975544,30.616834416427512,Aprobado,Sí
149,101.09269952961158,64,52.63343402799292,32.45217518202932,Aprobado,Sí
150,115.54398618633178,95,50.92779577542618,33.90830706389628,Aprobado,Sí
151,119.11064648534563,87,42.355045679432116,36.59511567896017,Rechazado,Sí
152,116.45392324952529,99,58.49994848906893,35.399820037390555,Aprobado,Sí
153,109.873545854059,69,52.40712169668258,30.956273220124675,Aprobado,Sí
154,122.33696757724155,83,51.81985912218596,32.64345529878366,Aprobado,Sí
155,153.46093822478065,98,42.67730998320531,32.7628908230454,Aprobado,Sí
156,104.63432062353877,96,45.22861923048425,30.20260576956097,Aprobado,Sí
157,100.5619886651957,78,52.43929519961296,29.72628355384219,Aprobado,Sí
158,141.22502545055906,66,53.21849667922976,34.6030261738019,Aprobado,Sí
159,116.2786904818548,53,48.36663385668347,35.1723327081313,Aprobado,Sí
160,132.42811764949164,76,48.4833361291141,34.81015577158714,Aprobado,Sí
161,119.3790327788493,72,41.218187609622326,31.481685825275733,Aprobado,Sí
162,89.79005049518499,58,53.603550702976335,33.438212180859914,Aprobado,Sí
163,130.15407199460165,91,56.806274395907515,30.405912473164914,Aprobado,Sí
164,104.37115172758882,68,51.837013657152276,30.80906675299989,Aprobado,No
165,129.09784261014408,58,45.6480717895201,31.94757050853254,Aprobado,Sí
166,108.58708503362514,95,49.353722528817094,35.20098805024552,Aprobado,Sí
167,109.54345378639638,90,50.70739993729347,33.3925075957324,Aprobado,Sí
168,111.00134837225993,84,52.81678796820068,33.85090032307148,Aprobado,No
169,135.1142082849098,53,50.21798221869005,34.015617909718515,Aprobado,Sí
