ID_Producto,Tipo_Producto,pH,Viscosidad_cP,Duración_Tests_meses,Prueba_Dermatológica,Categoría_Cosmético
1,Crema,5.78760034507053,2045.6453410483375,35,Aprobado,Premium
2,Crema,6.329790089500883,1637.9069639734682,25,Aprobado,Premium
3,Champú,7.038343996401803,3867.7236617626104,26,Aprobado,Premium
4,Perfume,6.721714199540816,3707.284876456691,15,Aprobado,Económico
5,Crema,5.213497137913576,3588.7303124040172,19,Aprobado,Premium
6,Champú,5.310664082855053,3848.316341101804,18,Aprobado,Premium
7,Champú,5.096874411107116,3816.922171981171,30,Aprobado,Orgánico
8,Maquillaje,6.535462323331647,4755.060914203717,15,Aprobado,Económico
9,Crema,4.827989043765768,3280.2696598414873,25,Aprobado,Económico
10,Perfume,7.39463164768852,4972.535120323988,34,Aprobado,Premium
11,Perfume,6.511004400772578,1139.7274400624342,15,Aprobado,Económico
12,Champú,4.764522249094857,4366.996380190058,33,Aprobado,Económico
13,Perfume,4.854435773968723,1837.0112994366625,10,Rechazado,Premium
14,Maquillaje,4.9864401713240625,1876.534505513984,10,Aprobado,Orgánico
15,Perfume,5.525855818677218,2978.348622278102,10,Aprobado,Económico
16,Champú,6.403624652698589,4537.013374381537,8,Aprobado,Económico
17,Maquillaje,5.471547654653913,1198.4329710088803,8,Aprobado,Premium
18,Maquillaje,5.548871393560734,2554.8186939452007,7,Aprobado,Premium
19,Perfume,7.4171544183879625,1782.426202252068,11,Aprobado,Orgánico
20,Maquillaje,5.757293530657231,4240.603722500253,29,Aprobado,Económico
21,Perfume,5.620798123133263,3674.7427885765997,29,Aprobado,Económico
22,Crema,5.690311204088203,2714.0286155418044,25,Aprobado,Orgánico
23,Perfume,7.425230751072366,1261.5692557281423,23,Aprobado,Económico
24,Maquillaje,6.984555530757173,3016.6932951099443,7,Aprobado,Premium
25,Maquillaje,5.702997603554033,1626.3279166262846,18,Aprobado,Premium
26,Champú,5.224186097937603,1719.6755388059478,20,Aprobado,Premium
27,Champú,6.807998784772316,1698.5880547279369,23,Aprobado,Económico
28,Champú,5.182333458913637,2736.4906380685366,26,Aprobado,Económico
29,Maquillaje,6.521643670555951,3440.880881415923,9,Aprobado,Económico
30,Perfume,7.1793659741876485,1619.4066217120876,33,Aprobado,Premium
31,Champú,6.5676948426411865,3029.7554451335445,35,Aprobado,Económico
32,Maquillaje,6.939084368461129,1499.4703721373871,8,Aprobado,Orgánico
33,Champú,5.452784308263171,4278.461820105114,22,Aprobado,Premium
34,Perfume,7.048102225070593,1627.9305858860453,23,Aprobado,Premium
35,Maquillaje,5.32101621587113,2415.4325663838563,11,Aprobado,Premium
36,Maquillaje,4.810748134327939,3590.115417374906,9,Aprobado,Premium
37,Maquillaje,5.16648177911814,3663.2712257313997,26,Aprobado,Premium
38,Crema,6.2728253389988,4223.472705851214,27,Aprobado,Premium
39,Champú,7.420384913817016,3618.5765153011753,15,Aprobado,Económico
40,Maquillaje,6.541576798828862,1143.1347851554588,34,Aprobado,Premium
41,Champú,5.8071752557079535,1756.6859683846303,16,Aprobado,Económico
42,Perfume,6.055200328608317,1729.0752311688143,33,Aprobado,Económico
43,Champú,5.9011332276735615,4634.794934989827,25,Aprobado,Premium
44,Crema,7.49339229354844,3686.533783294666,17,Aprobado,Premium
45,Maquillaje,4.9571558470385355,1379.5684134244377,15,Aprobado,Premium
46,Perfume,5.981329952896042,2575.517659492647,14,Aprobado,Económico
47,Perfume,6.97202185484162,2512.982071357993,23,Aprobado,Premium
48,Maquillaje,6.537446650613532,1005.1953962324602,31,Aprobado,Económico
49,Crema,4.682154098076354,2120.8195086872647,15,Aprobado,Orgánico
50,Perfume,7.162750055370037,2759.8415037920067,31,Aprobado,Económico
51,Maquillaje,6.702355142030793,3132.0126972353332,31,Aprobado,Premium
52,Crema,6.21101999046752,1208.8689780088587,20,Rechazado,Orgánico
53,Champú,4.832109303226721,2622.5765552909024,8,Aprobado,Económico
54,Crema,5.031323515006839,2190.059549736358,21,Aprobado,Premium
