ID_Producto,Tipo_Producto,pH,Viscosidad_cP,Duración_Tests_meses,Prueba_Dermatológica,Categoría_Cosmético
1,Perfume,5.78760034507053,2045.6453410483373,35.0,Nuevo_1,Económico
2,,6.329790089500883,1637.9069639734682,25.0,Aprobado,Económico
3,Champú,7.038343996401803,3867.7236617626095,,Rechazado,Económico
4,Maquillaje,6.721714199540816,3707.284876456691,15.0,Rechazado,Económico
5,Crema,5.213497137913576,3588.730312404017,19.0,Aprobado,Nuevo_3
6,Perfume,5.310664082855053,3848.316341101804,18.0,Rechazado,Nuevo_3
7,Champú,5.096874411107116,3816.922171981171,30.0,Rechazado,Premium
8,Perfume,6.535462323331647,4755.060914203717,15.0,Nuevo_5,Orgánico
9,Crema,4.827989043765768,3280.2696598414877,25.0,Aprobado,Orgánico
10,Nuevo_1,,4972.535120323988,34.0,Nuevo_5,Económico
11,Champú,6.511004400772578,1139.7274400624342,15.0,Rechazado,Económico
12,Champú,4.764522249094857,4366.996380190058,,Nuevo_4,Nuevo_1
13,Maquillaje,4.854435773968723,1837.0112994366625,10.0,Aprobado,Nuevo_2
14,,4.986440171324063,1876.534505513984,10.0,Aprobado,Nuevo_5
15,Nuevo_5,,2978.348622278102,10.0,Aprobado,Económico
16,Maquillaje,6.403624652698589,4537.013374381537,8.0,Nuevo_1,Económico
17,Maquillaje,5.471547654653913,1198.4329710088805,8.0,Aprobado,Premium
18,Nuevo_1,5.548871393560734,2554.8186939452007,7.0,Nuevo_4,Económico
19,Crema,7.417154418387962,8932.28430709691,11.0,Aprobado,Nuevo_5
20,Crema,5.757293530657231,4240.603722500253,29.0,Aprobado,Premium
21,Nuevo_2,5.620798123133263,3674.7427885766,29.0,Aprobado,Orgánico
22,Maquillaje,5.690311204088203,2714.0286155418044,,Aprobado,Nuevo_1
23,,,1261.5692557281425,,Rechazado,Premium
24,Perfume,6.984555530757173,3016.6932951099443,,Nuevo_3,Premium
25,Crema,5.702997603554033,1626.3279166262846,18.0,Aprobado,Económico
26,Champú,5.224186097937603,1719.6755388059478,20.0,Nuevo_3,Económico
27,Crema,6.807998784772316,1698.5880547279369,23.0,Rechazado,Premium
28,Crema,5.182333458913637,2736.490638068537,26.0,Aprobado,Orgánico
29,Perfume,6.521643670555951,3440.880881415923,9.0,Nuevo_4,Orgánico
30,Crema,7.1793659741876485,1619.4066217120876,33.0,Rechazado,Orgánico
31,Maquillaje,6.5676948426411865,3029.7554451335445,35.0,Aprobado,Nuevo_4
32,Crema,6.939084368461129,1499.4703721373871,8.0,Rechazado,Nuevo_5
33,Perfume,5.452784308263171,4278.461820105114,22.0,Rechazado,Premium
34,Maquillaje,7.048102225070593,1627.9305858860453,23.0,Rechazado,Orgánico
35,Nuevo_2,5.32101621587113,2415.4325663838563,,Nuevo_2,Orgánico
36,Crema,4.810748134327939,3590.115417374906,,Rechazado,Nuevo_4
37,Nuevo_5,5.16648177911814,3663.2712257314,26.0,Nuevo_2,Premium
38,Crema,6.2728253389988,4223.472705851214,27.0,Nuevo_3,Económico
39,Champú,7.420384913817016,3618.5765153011753,15.0,Aprobado,Nuevo_4
40,Maquillaje,6.541576798828862,1143.1347851554588,34.0,Rechazado,Económico
41,Nuevo_3,5.8071752557079535,1756.6859683846303,16.0,Aprobado,Premium
42,Nuevo_3,6.055200328608317,1729.0752311688143,33.0,Nuevo_1,Premium
43,Perfume,,4634.794934989827,25.0,Rechazado,Nuevo_5
44,Crema,7.49339229354844,3686.533783294666,17.0,Aprobado,Orgánico
45,Nuevo_3,4.957155847038536,1379.5684134244375,15.0,Aprobado,Nuevo_4
46,Champú,5.981329952896042,2575.517659492647,14.0,Nuevo_1,Económico
47,Crema,6.97202185484162,2512.982071357993,23.0,Aprobado,Orgánico
48,Nuevo_2,6.537446650613532,1005.1953962324602,31.0,Rechazado,Premium
49,Perfume,4.682154098076354,2120.8195086872647,15.0,Nuevo_2,Premium
50,Perfume,7.162750055370037,2759.8415037920067,31.0,Aprobado,Orgánico
