Identificador,TipoProducto,FechaFabricacion,Voltaje,Corriente,Desempeno,ConsumoEnergetico,ValorMercado
524,Accesorio,2021-08-10,4.3925,3.7388,47.1135,16.3262,68.557
5350,Accesorio,2020-08-11,5.8982,0.695,37.2536,3.1186,39.2874
3709,Smartphone,2020-10-28,5.7958,1.485,33.4906,7.9296,43.063
2688,Tablet,2020-05-11,5.3454,1.8484,41.827,8.3057,50.6845
7908,Tablet,2020-09-17,3.5336,0.649,36.4031,0.8027,30.3807
4117,Smartphone,2020-08-02,14.5442,1.8458,60.8234,26.5972,105.0303
1937,Smartphone,2022-07-16,10.3301,3.6962,61.4384,38.5145,127.6245
721,Accesorio,2021-09-14,4.53,1.5932,39.3367,6.2786,43.5403
4397,Smartphone,2021-11-15,5.4789,4.8149,58.9757,24.8723,93.9182
8145,Tablet,2021-06-03,14.4456,4.178,66.5135,61.2486,186.4337
4498,Tablet,2021-08-13,14.6412,2.8539,64.8826,42.4884,147.8208
7088,Tablet,2020-12-11,9.5756,4.3466,59.1184,41.1371,132.0087
1851,Tablet,2022-03-10,14.1315,2.2799,51.01,32.1876,113.8764
1428,Tablet,2022-04-28,9.8224,1.8154,46.3169,18.2668,74.9164
8409,Laptop,2020-11-04,7.1888,2.0652,47.3662,15.5797,69.1785
2750,Tablet,2022-12-21,,,60.5905,51.2886,151.9451
4729,Tablet,2021-06-18,9.9247,4.3204,58.0058,43.0971,134.5179
4855,Tablet,2020-06-28,13.3368,1.9597,56.3488,25.5055,97.8207
7297,Tablet,2020-05-10,3.5243,4.9506,54.8762,17.0538,74.9531
8860,Tablet,2021-01-08,10.1021,2.3155,49.714,22.7417,82.8879
1217,Smartphone,2020-11-15,4.8665,1.9412,35.0275,9.4123,47.9935
546,Laptop,2021-12-16,3.7498,1.9774,36.3259,8.0092,44.494
4093,Accesorio,2022-04-08,5.8105,1.598,40.2757,8.4193,48.0225
8270,Tablet,2022-06-19,13.4341,3.4315,66.573,45.1503,150.5566
5556,Tablet,2021-11-29,6.05,4.6048,55.5857,28.1272,101.4809
8728,Tablet,2021-10-14,6.3053,4.5057,52.9699,27.8817,102.9756
2138,Accesorio,2021-04-11,10.0749,4.0457,57.9017,40.1792,125.3292
7447,Tablet,2020-02-20,11.8735,3.7703,63.9956,45.394,145.7654
2986,Smartphone,2020-08-25,13.9913,2.1216,59.2655,30.7719,111.5739
4489,Smartphone,2021-06-06,4.3042,1.2534,39.0043,4.783,38.0109
549,Accesorio,2022-01-31,8.2087,2.7399,50.2556,23.6459,91.0619
1763,Laptop,2020-04-15,4.5278,4.0006,50.0251,18.1559,76.1314
7560,Smartphone,2021-11-13,4.4225,3.7683,45.7771,14.7549,63.1238
3218,Accesorio,2021-08-15,14.833,2.7933,67.623,42.799,146.6307
8274,Smartphone,2020-09-12,12.1336,2.7365,59.4185,33.1543,112.9343
7797,Smartphone,2021-03-08,7.5109,4.2002,51.2319,31.4113,108.4205
6824,Smartphone,2021-07-09,10.1934,2.2831,50.0503,23.5205,88.6496
5456,Tablet,2022-11-17,3.5221,1.5136,29.5858,2.4642,28.7874
2182,Accesorio,2021-03-28,3.2183,4.0274,45.9052,12.4334,63.8711
964,Smartphone,2021-03-28,13.3401,2.3653,56.5179,32.6565,114.4839
8877,Accesorio,2021-03-24,9.1983,0.514,39.9462,4.6015,43.0928
5929,Laptop,2021-07-16,6.8865,0.525,33.5605,4.4435,39.1909
8510,Laptop,2021-06-12,13.4479,0.5068,51.6133,4.937,46.9549
3779,Laptop,2021-08-22,7.8711,4.6532,62.5815,37.5663,129.2556
2697,Laptop,2020-09-23,3.7841,2.3642,34.4037,10.0909,49.1171
7028,Laptop,2022-07-03,5.8857,4.1855,53.3903,24.7065,91.3549
852,Laptop,2021-09-24,13.5205,3.7233,65.352,49.9598,159.1899
8857,Accesorio,2022-06-05,5.4961,1.4607,37.27,8.6422,45.4283
8511,Smartphone,2022-08-10,10.2767,4.8316,65.1862,48.2925,147.8401
3301,Smartphone,2020-10-21,8.5245,4.7173,60.3,40.2444,136.7008
912,Smartphone,2020-06-27,4.9211,3.7134,50.5472,19.9543,77.4064
6702,Accesorio,2021-02-14,7.9043,2.33,49.455,16.9847,76.1716
4636,Smartphone,2020-02-25,12.743,3.2227,61.1591,42.3599,135.4753
455,Accesorio,2022-04-16,12.2595,0.7424,51.9596,9.5806,59.682
5082,Smartphone,2020-11-15,3.8452,1.3175,152.084,4.1581,93.9851
3955,Tablet,2022-04-19,8.3379,1.0548,42.5772,10.645,59.0967
6942,Accesorio,2022-10-25,14.0013,4.6825,72.8978,66.0459,199.904
6587,Smartphone,2021-03-19,9.5106,4.8411,69.7992,44.8754,147.1405
6998,Accesorio,2022-07-27,6.6896,3.9007,49.7584,26.6333,94.9048
4340,Tablet,2022-12-16,14.0587,4.9003,67.8727,67.6027,201.691
8809,Accesorio,2020-11-10,14.2404,3.8003,72.1482,53.4962,171.7618
5495,Accesorio,2020-02-26,,,49.5326,16.2283,76.8753
241,Smartphone,2022-03-29,12.4414,3.1718,58.0193,38.702,129.8363
7952,Tablet,2021-11-04,6.066,1.7321,42.1693,10.6788,58.743
1590,Accesorio,2020-03-24,11.5673,1.2762,49.9544,16.3925,66.7701
2287,Tablet,2022-08-16,12.7995,4.1259,66.6939,53.5841,172.4257
4166,Accesorio,2020-03-26,12.1311,4.3629,63.5926,52.1624,160.743
6251,Smartphone,2021-06-26,13.4511,4.3804,71.3861,58.2331,184.2004
1244,Tablet,2021-05-26,12.2106,2.0015,54.3808,23.673,89.1957
6051,Tablet,2021-07-24,6.9097,3.8085,47.0447,25.3338,95.8931
8476,Smartphone,2022-10-02,13.0482,3.1116,66.4882,39.7979,136.458
5792,Tablet,2020-03-26,9.283,4.5906,62.015,41.5197,140.3491
1445,Tablet,2022-02-25,4.8199,0.7702,30.7798,4.3829,30.5533
8365,Tablet,2021-12-27,7.9738,2.8796,41.2914,22.5338,84.6319
7835,Smartphone,2020-01-01,14.1339,1.9577,56.4985,28.035,102.7519
8294,Laptop,2021-09-04,9.31,4.275,59.6716,40.447,132.3721
5731,Accesorio,2021-01-01,6.0755,0.6354,42.8667,5.9955,45.9172
27,Laptop,2022-07-31,4.5234,4.2521,54.7115,19.4856,84.0279
2760,Laptop,2021-12-27,11.269,2.6288,55.4892,30.1262,103.1876
3307,Accesorio,2021-04-06,5.3068,3.0167,48.4011,17.5562,71.0977
4691,Accesorio,2021-08-27,7.8912,3.5683,56.2618,29.2508,105.5937
220,Tablet,2020-08-19,9.7686,1.8041,48.9845,17.4557,72.7389
5188,Smartphone,2022-02-02,3.8578,2.7121,41.9311,12.3158,57.737
7568,Tablet,2022-05-13,6.095,4.1888,48.4315,25.8916,93.1105
5493,Smartphone,2022-06-03,9.7884,2.0267,45.7077,20.3966,79.2545
8383,Laptop,2021-12-02,4.3423,3.3013,42.1245,12.5768,59.3606
5337,Laptop,2020-05-18,5.1964,1.5898,41.497,10.1441,52.0584
7412,Smartphone,2021-04-30,7.0348,1.229,36.2334,8.7943,50.6048
6925,Accesorio,2021-02-27,4.9233,1.4425,45.0619,6.7992,43.8647
5021,Tablet,2021-09-02,11.9621,4.666,69.2871,55.9083,168.8608
6344,Accesorio,2022-04-20,8.0079,3.7402,53.5204,30.48,109.4286
7137,Accesorio,2021-05-17,13.313,3.8737,66.9482,49.5259,162.102
8735,Accesorio,2020-09-04,13.1782,2.6253,57.2576,33.9267,116.8067
2845,Tablet,2022-01-23,,,57.0186,22.8209,90.1373
2457,Tablet,2020-01-22,9.9785,1.6537,48.1985,17.2465,74.4257
4712,Laptop,2020-05-28,6.37,3.6296,50.7569,23.9524,92.3227
4028,Accesorio,2021-03-21,13.7189,1.4693,60.524,20.3354,87.6481
6106,Laptop,2021-01-17,4.0615,1.2993,32.8332,5.641,34.3837
7059,Accesorio,2021-09-07,4.8685,1.3371,32.2938,7.9782,39.3998
7898,Laptop,2021-05-03,5.8157,4.8353,53.3734,28.7984,98.772
2848,Tablet,2021-11-18,5.1564,2.9768,47.3676,16.2292,65.8699
4598,Laptop,2020-07-21,3.4891,4.0024,46.2877,13.9637,62.4552
5384,Laptop,2021-03-23,8.0035,0.6002,40.8171,6.7121,48.4728
4716,Smartphone,2020-01-18,7.575,0.5276,32.5787,3.6225,33.6873
2458,Laptop,2022-02-02,8.0193,2.9592,54.3321,23.2426,93.3285
7319,Smartphone,2021-07-31,14.8699,1.7105,57.111,25.5074,100.6178
8782,Laptop,2020-08-04,9.3655,4.7718,61.883,43.6335,141.2128
8116,Smartphone,2022-09-29,9.4189,0.5216,43.2617,5.5755,42.8394
6602,Laptop,2020-08-11,13.3993,2.4093,54.5566,31.5094,111.1317
3889,Laptop,2022-07-05,11.397,4.3904,63.8653,49.0436,155.4242
5748,Laptop,2021-06-09,4.7979,1.4126,33.6111,5.9157,37.576
2072,Accesorio,2020-03-08,12.4757,4.5393,71.1852,57.8255,176.9564
8800,Smartphone,2022-09-14,14.9868,2.8229,60.6369,42.8878,140.936
3571,Accesorio,2020-07-05,3.6365,1.0035,38.6011,2.2856,34.2627
5630,Accesorio,2022-05-15,5.8105,3.5107,46.6712,20.7789,78.6348
2062,Laptop,2021-01-04,14.1735,1.6026,54.0124,23.7328,95.1326
5835,Laptop,2022-09-03,6.7826,4.0245,51.5636,27.5347,98.3284
4042,Smartphone,2020-04-02,10.3373,4.7761,65.9295,49.217,151.7433
6850,Smartphone,2021-05-08,5.9952,3.0927,51.8924,17.8039,79.2678
202,Smartphone,2020-05-03,10.4303,3.0928,57.8636,30.1305,105.2767
7350,Accesorio,2021-05-20,14.8861,2.3164,63.3279,32.5211,122.0843
6413,Smartphone,2022-08-06,9.5176,1.1095,47.4782,9.9998,58.1295
8771,Tablet,2022-10-09,5.392,0.5785,33.884,2.8757,31.576
2092,Laptop,2022-01-18,11.6453,4.0131,57.3436,45.6125,141.2659
8603,Accesorio,2022-05-06,5.5845,3.5226,49.4765,19.2438,82.1923
7143,Tablet,2022-09-29,12.0534,1.7326,52.2931,21.337,81.3749
8049,Laptop,2022-04-03,10.2727,1.6977,49.098,16.8599,68.9842
825,Smartphone,2021-05-28,8.9854,4.0581,55.0692,36.896,125.0403
4435,Accesorio,2022-08-17,8.9019,4.9933,64.1395,45.2646,146.3149
5068,Laptop,2022-01-06,3.6798,1.351,36.9301,5.9002,38.8254
2024,Laptop,2022-10-30,3.4536,4.7158,51.8937,17.6993,77.9742
1286,Accesorio,2022-06-26,8.8843,0.9276,44.1346,8.691,53.3139
3829,Smartphone,2022-08-03,14.8776,3.6855,74.0083,53.7934,173.2292
8713,Accesorio,2021-08-24,9.4016,4.1618,60.5368,40.5083,133.7616
6496,Accesorio,2020-07-04,8.5435,2.6198,48.9512,20.1821,82.0637
1827,Smartphone,2020-12-12,6.5125,2.8415,45.4988,19.4042,78.0186
4711,Smartphone,2021-09-11,9.0635,4.5977,61.7101,42.9954,140.4818
3659,Tablet,2022-01-29,9.1256,1.4797,48.0435,12.2777,62.2714
198,Accesorio,2021-02-15,7.3145,4.8946,55.7412,36.5737,125.9701
5325,Accesorio,2022-02-17,11.1286,4.096,60.7861,45.835,144.602
5117,Laptop,2020-06-20,5.8561,3.0217,44.2429,17.1542,70.6848
1031,Accesorio,2021-07-17,14.4337,4.28,70.0945,61.7553,187.1587
2380,Tablet,2022-04-30,,,41.3573,8.0831,53.5039
8197,Laptop,2020-08-02,9.6161,2.3378,56.3634,20.8858,86.761
7675,Laptop,2020-02-17,4.4019,1.3143,36.2578,6.3968,39.2427
1784,Tablet,2020-12-29,7.9993,1.5159,42.8983,13.3144,66.715
1482,Laptop,2022-06-12,,,67.8047,49.7531,152.3995
7703,Laptop,2022-03-15,13.2818,3.3764,65.0815,45.2589,149.711
7556,Accesorio,2021-10-31,4.0359,2.5117,37.7056,10.2051,49.0438
3287,Accesorio,2021-11-23,9.1675,1.3286,47.4549,13.9228,66.9267
6581,Accesorio,2020-09-22,4.4215,2.2078,36.8083,9.3759,46.6965
8129,Smartphone,2021-09-06,4.6967,3.5532,45.665,15.3131,63.8093
3235,Laptop,2020-06-15,,,55.0772,25.9488,99.9784
1194,Smartphone,2021-02-08,6.3371,3.4994,58.1938,21.4344,88.4236
7064,Laptop,2021-01-10,12.1433,1.2331,54.3998,16.4278,74.7817
6202,Laptop,2021-07-10,14.9126,0.5727,50.5052,7.654,56.1956
2253,Accesorio,2022-04-27,14.7584,3.0033,62.8589,45.4048,148.7546
5059,Tablet,2020-08-22,4.2805,4.7494,48.1356,19.8244,74.168
751,Accesorio,2022-12-16,3.1762,1.4991,32.7167,5.1943,34.7785
489,Smartphone,2022-07-09,5.5951,1.9673,37.0431,11.2359,52.523
114,Laptop,2020-02-14,10.5475,1.7579,53.0067,18.5338,73.3091
5153,Smartphone,2021-06-28,10.5142,3.4264,57.2503,36.4035,117.3174
8198,Accesorio,2020-03-27,6.2022,3.2496,49.6186,20.3149,78.732
7848,Laptop,2021-06-30,11.3658,2.1424,51.1288,23.251,83.9087
2860,Tablet,2021-02-13,12.5317,3.225,60.6009,38.7551,128.5133
8636,Laptop,2020-11-09,,,40.7912,9.7024,57.9024
7776,Accesorio,2021-12-25,3.887,4.7642,53.7298,19.0978,76.9422
860,Laptop,2022-06-26,5.38,0.9973,40.3355,5.3742,38.6374
8940,Smartphone,2020-06-02,5.6944,0.8661,35.4743,4.6166,39.8406
5912,Smartphone,2021-06-05,6.2887,1.9244,40.1911,12.0777,56.0167
258,Smartphone,2022-04-19,7.7509,1.9675,47.1181,16.4415,74.6744
8994,Laptop,2022-04-17,14.9234,4.3079,73.8549,62.1579,188.7941
8671,Tablet,2022-08-29,5.5196,4.1625,51.1345,22.0656,89.6312
1676,Accesorio,2020-01-07,6.7994,2.5217,52.983,16.5305,75.028
478,Tablet,2020-01-26,3.6643,4.0986,50.0385,14.9902,66.1021
6716,Smartphone,2020-10-05,5.5785,4.309,51.8383,23.7457,87.6554
2037,Tablet,2020-12-18,7.4112,3.279,54.213,24.9785,95.3172
3903,Smartphone,2020-07-05,8.4928,1.7097,44.4389,14.2668,69.5442
395,Tablet,2021-06-20,13.2924,1.2859,48.9126,18.1971,76.856
512,Accesorio,2022-11-13,3.2015,4.4344,54.4147,16.1998,73.4674
7971,Laptop,2022-09-18,12.4029,3.7239,63.4164,45.9624,150.7889
3831,Tablet,2022-07-01,9.5473,1.7638,48.8243,16.4204,70.9831
174,Laptop,2020-12-11,8.3056,4.1201,55.9693,33.1568,118.2034
8333,Laptop,2021-12-31,9.3165,3.8956,59.4831,37.1076,121.4144
4187,Accesorio,2021-09-24,14.8632,1.388,56.9491,18.4456,86.6109
6385,Tablet,2021-02-03,7.2221,4.8664,61.27,37.4227,124.4569
2846,Tablet,2022-07-19,10.2393,0.6611,45.8457,7.5199,46.9435
4620,Tablet,2022-12-18,6.6607,1.8236,42.389,11.4961,62.499
7985,Accesorio,2020-07-27,4.6602,4.9642,52.4328,23.5009,87.5992
8849,Tablet,2020-08-05,4.097,2.6314,38.3204,13.1564,57.1961
5906,Accesorio,2021-07-13,14.0213,4.7877,68.9117,67.6953,206.5262
4131,Laptop,2022-11-21,3.7813,2.1302,33.8396,8.2043,44.2289
2900,Smartphone,2020-07-23,12.0237,2.0162,54.5376,26.4429,100.1474
3285,Laptop,2020-11-14,13.4098,3.8755,62.9667,51.3668,159.0977
4893,Smartphone,2022-05-13,10.0627,0.5693,47.9545,5.9547,47.7833
