ID_Equipo,Tipo_Equipo,Vida_Útil_Años,Frecuencia_Uso_HorasDia,Precisión_%,Tiempo_Mantenimiento_meses,Clasificación_Calidad
1.0,Bomba de Infusión,9.0,4.986656227025343,97.15979354822724,14.0,C
2.0,Electrocardiógrafo,19.0,11.73879660766396,95.95649429076636,3.0,B
3.0,Respirador,7.0,4.123465732285142,99.02173077311292,3.0,A
4.0,Monitor,16.0,11.597482651689823,99.7777556122114,14.0,C
,Respirador,10.0,15.302735924840524,98.52583443237069,,D
,Monitor,19.0,18.392284573045647,98.53939677514651,3.0,D
7.0,Electrocardiógrafo,9.0,23.169590765507916,95.73418286379146,21.0,A
8.0,Monitor,6.0,5.572880000094448,99.87249348185983,7.0,B
9.0,Respirador,12.0,22.649469948760533,96.05275973002205,20.0,A
10.0,Bomba de Infusión,11.0,21.06881078498479,98.5199543021541,8.0,Nuevo_2
11.0,,14.0,16.448044624098884,97.36847532853288,9.0,D
12.0,Respirador,10.0,20.366428818670126,96.16112647205718,5.0,B
13.0,Monitor,17.0,12.199762317067629,99.59893168721092,18.0,C
14.0,,19.0,3.0853699873208,98.71425162726368,17.0,C
15.0,,15.0,20.52506874688073,99.82065253450656,6.0,C
16.0,Respirador,16.0,11.35639086819232,96.25721562346956,10.0,B
17.0,Nuevo_5,9.0,3.6505863516099857,95.92668235836187,4.0,B
18.0,Bomba de Infusión,14.0,17.592898020022893,96.13564500286864,20.0,B
19.0,Respirador,7.0,6.333697470548976,98.9497420990662,15.0,D
20.0,Monitor,6.0,9.543702393786258,97.85503670882312,16.0,C
21.0,Electrocardiógrafo,16.0,8.244486204473592,99.4740906038875,16.0,C
22.0,Electrocardiógrafo,19.0,17.814018908407213,98.85304855930916,17.0,D
23.0,Bomba de Infusión,13.0,23.782688106998503,95.97699273326654,6.0,D
24.0,Nuevo_5,6.0,7.471584236312477,98.48647417116489,4.0,Nuevo_3
25.0,Nuevo_5,18.0,2.048362803736919,97.4094902101,10.0,D
26.0,Respirador,16.0,16.466269052557692,95.02406522319454,16.0,Nuevo_4
27.0,Respirador,15.0,11.92749619469262,97.26003346062458,20.0,Nuevo_1
28.0,Bomba de Infusión,17.0,4.928222503875874,95.9527143609536,3.0,C
29.0,Electrocardiógrafo,11.0,6.0691244140570495,97.36114671385342,22.0,D
30.0,Bomba de Infusión,16.0,14.221717204400898,96.68010270728004,8.0,B
31.0,Nuevo_1,6.0,17.081339266231915,99.2697080041885,13.0,D
32.0,Nuevo_3,8.0,4.340514562794161,98.42097673323924,19.0,Nuevo_2
33.0,Bomba de Infusión,8.0,7.551374279749275,98.55814979078896,15.0,C
,Nuevo_4,18.0,18.55154694336117,98.99594469385714,16.0,Nuevo_2
35.0,Bomba de Infusión,16.0,21.25061157926819,95.75131619665092,4.0,B
36.0,Respirador,11.0,10.472904533417594,96.53611202713437,18.0,C
37.0,Nuevo_1,5.0,12.286193324220026,97.1912760670987,16.0,D
38.0,Electrocardiógrafo,15.0,20.255817588140857,95.1902044895328,15.0,D
39.0,Bomba de Infusión,16.0,21.49696460327584,95.3206032737538,8.0,D
40.0,Monitor,6.0,11.07043731954966,96.1459048262697,22.0,B
41.0,,9.0,13.875483105793457,97.39159806108948,5.0,B
42.0,Nuevo_4,12.0,22.14234229053848,95.96997167308804,,B
43.0,Electrocardiógrafo,6.0,10.767591181266273,98.20579613474352,18.0,Nuevo_2
44.0,Respirador,10.0,12.815329521569966,98.59393622007082,8.0,B
,Electrocardiógrafo,15.0,17.172652959803457,99.04553306522808,36.14241422168819,B
46.0,Respirador,5.0,16.00880568884896,98.28000785069068,17.0,B
47.0,Electrocardiógrafo,19.0,11.964154157822016,96.18979147011208,6.0,Nuevo_3
48.0,Electrocardiógrafo,13.0,12.772068247808033,95.23332149166986,,Nuevo_4
49.0,Electrocardiógrafo,16.0,5.041691921491438,97.35809672904092,13.0,C
50.0,Monitor,6.0,6.851072101779984,96.61452229667324,9.0,A
51.0,Electrocardiógrafo,12.0,8.194906004030582,99.86901507788428,19.0,D
52.0,,12.0,23.20037229669685,97.59292594140264,3.0,D
53.0,Bomba de Infusión,14.0,20.353724127558515,96.82531096795095,17.0,D
54.0,Bomba de Infusión,6.0,12.12185940013932,97.93435725409284,6.0,C
