ID_Juguete,Material,Edad_Recomendada,Peso_g,Tiempo_Producción_min,Normativa_Cumplida,Aprobación_Final
1,,3-5 años,216.01292699210225,111.0,ISO 8124,No
2,Metal,11+ años,471.9470401313928,40.0,CE,Sí
3,Nuevo_4,6-10 años,484.3922439959615,9.0,Nuevo_3,Sí
4,Metal,6-10 años,955.4356779611592,80.0,Nuevo_5,Sí
5,Nuevo_2,0-2 años,237.9177239648598,26.0,CE,Nuevo_5
6,Plástico,0-2 años,167.73336340595102,84.0,ISO 8124,No
7,Madera,3-5 años,600.7638134672643,79.0,CE,Nuevo_5
8,,Nuevo_4,525.0757601424496,107.0,ISO 8124,No
9,Nuevo_3,6-10 años,781.0678957114706,90.0,ISO 8124,No
10,Nuevo_2,3-5 años,822.0210371985944,42.0,Nuevo_4,Sí
11,Plástico,Nuevo_4,85.0513589849329,67.0,ISO 8124,No
12,Plástico,Nuevo_4,551.0548982000689,87.0,Nuevo_1,No
13,Nuevo_4,6-10 años,783.0829673340576,16.0,Nuevo_2,No
14,Metal,Nuevo_2,196.6318918808144,7.0,ASTM F963,Sí
15,Plástico,3-5 años,710.6475508624735,81.0,ISO 8124,Sí
16,Madera,3-5 años,265.40408471556964,64.0,ASTM F963,No
17,Madera,Nuevo_1,886.4980057897292,25.0,ISO 8124,No
18,Tela,6-10 años,645.4186347396575,108.0,CE,Nuevo_2
19,Nuevo_4,11+ años,6681.309286164428,71.0,ASTM F963,Nuevo_4
20,,0-2 años,,86.0,Nuevo_2,Nuevo_4
21,Plástico,3-5 años,342.7917989166557,36.0,CE,Nuevo_5
22,Nuevo_5,3-5 años,67.99706463625958,75.0,Nuevo_1,Nuevo_3
23,Metal,11+ años,625.8904054868304,15.0,ASTM F963,No
24,Nuevo_5,,231.72176958024636,69.0,ASTM F963,Sí
25,Metal,3-5 años,861.9827198538302,52.0,ISO 8124,Sí
26,Tela,6-10 años,469.0039491335467,303.9366402981267,CE,Sí
27,Metal,Nuevo_1,569.7278438661965,66.0,Nuevo_4,Sí
28,Tela,3-5 años,54.29124833096788,52.0,CE,Sí
29,Madera,0-2 años,217.40953780971853,97.0,ISO 8124,Sí
30,Metal,11+ años,183.88584729776727,100.0,ISO 8124,Nuevo_5
